nm,X2016.10.31,X2016.9.30,X2016.8.31,X2016.7.29,X2016.6.30,X2016.5.31,X2016.4.29,X2016.3.31,X2016.2.26,X2016.1.30,X2015.12.31,X2015.11.30,X2015.10.30,X2015.9.30,X2015.8.31,X2015.7.31,X2015.6.30,X2015.5.29,X2015.4.30,X2015.3.31,X2015.2.26,X2015.1.30,X2014.12.31,X2014.11.28,X2014.10.31,X2014.9.30,X2014.8.29,X2014.7.31,X2014.6.30,X2014.5.30,X2014.4.30,X2014.3.31,X2014.2.27,X2014.1.27,X2013.12.31,X2013.11.29,X2013.10.31,X2013.9.30,X2013.8.30,X2013.7.31,X2013.6.28,X2013.5.31,X2013.4.30,X2013.3.29,X2013.2.27,X2013.1.31,X2012.12.28,X2012.11.30,X2012.10.31,X2012.9.28,X2012.8.31,X2012.7.31,X2012.6.29,X2012.5.31,X2012.4.30,X2012.3.30,X2012.2.29,X2012.1.31,X2011.12.30,X2011.11.30,X2011.10.31,X2011.9.30,X2011.8.31,X2011.7.29,X2011.6.30,X2011.5.31,X2011.4.29,X2011.3.31,X2011.2.25,X2011.1.28,X2010.12.31,X2010.11.30,X2010.10.29,X2010.9.30,X2010.8.31,X2010.7.30,X2010.6.30,X2010.5.31,X2010.4.30,X2010.3.31,X2010.2.26,X2010.1.29,X2009.12.31,X2009.11.30,X2009.10.30,X2009.9.30,X2009.8.31,X2009.7.31,X2009.6.30,X2009.5.27,X2009.4.30,X2009.3.31,X2009.2.27,X2009.1.21,X2008.12.31,X2008.11.28,X2008.10.31,X2008.9.30,X2008.8.29,X2008.7.31,X2008.6.30,X2008.5.30,X2008.4.30,X2008.3.31,X2008.2.29,X2008.1.31,X2007.12.31,X2007.11.30,X2007.10.31,X2007.9.29,X2007.8.31,X2007.7.31,X2007.6.29,X2007.5.31,X2007.4.30,X2007.3.30,X2007.2.27,X2007.1.31,X2006.12.29,X2006.11.30,X2006.10.31,X2006.9.29,X2006.8.31,X2006.7.31,X2006.6.30,X2006.5.30,X2006.4.28,X2006.3.31,X2006.2.27,X2006.1.25,X2005.12.30,X2005.11.30,X2005.10.31,X2005.9.30,X2005.8.31,X2005.7.29,X2005.6.30,X2005.5.31,X2005.4.29,X2005.3.31,X2005.2.25,X2005.1.31,X2004.12.31,X2004.11.30,X2004.10.29,X2004.9.30,X2004.8.31,X2004.7.30,X2004.6.30,X2004.5.31,X2004.4.30,X2004.3.31,X2004.2.27,X2004.1.30,X2003.12.31,X2003.11.28,X2003.10.31,X2003.9.30,X2003.8.29,X2003.7.31,X2003.6.30,X2003.5.30,X2003.4.30,X2003.3.31,X2003.2.27,X2003.1.28,X2002.12.31,X2002.11.29,X2002.10.31,X2002.9.30,X2002.8.30,X2002.7.31,X2002.6.28,X2002.5.31,X2002.4.30,X2002.3.29,X2002.2.27,X2002.1.31,X2001.12.31,X2001.11.30,X2001.10.31,X2001.9.28,X2001.8.31,X2001.7.31,X2001.6.29,X2001.5.31,X2001.4.30,X2001.3.30,X2001.2.27,X2001.1.31,X2000.12.30,X2000.11.30,X2000.10.31,X2000.9.30,X2000.8.31,X2000.7.31,X2000.6.30,X2000.5.31,X2000.4.29,X2000.3.31,X2000.2.29,X2000.1.31
1,-73.494,-45.8069,-42.3934,-28.1189,-28.6021,-49.9999,-56.2257,-45.5041,-36.6667,-47.6631,-93.4099,-52.0431,-31.3813,-43.0769,-57.594,-72.374,-41.2697,-39.2771,-55.3237,-32.6316,-35.8209,-31.4371,-20.4166,-43.012,-39.8323,-32.9988,-57.6219,-43.3829,-23.9584,-30.6202,-45.2476,-27.5912,-22.1583,-26.1146,-46.8085,-31.9066,-55.6602,-34.6154,-57.1427,-44.8913,-51.3627,-51.5736,-42.6771,-38.6956,-29.8736,-41.7046,-32.1596,-45.0882,-45.341,-41.4286,-42.0833,-51.3514,-30.3179,-41.4286,-50.9803,-48.0331,-18.9944,-50.4545,-37,-64.7059,-39.732,-70.8171,-46.7135,-56.7347,-43.5931,-55,-48.6683,-38.669,-27.1524,-68.5517,-44.0765,-44.8113,-51.0269,-44.3548,-42.4683,-35.7665,-47.9849,-54.7586,-29.1769,-29.4573,-29.3443,-34.5601,-26.196,-41.089,-45.8516,-38.4409,-33.9999,-36.2332,-41.779,-67.9931,-51.506,-34.2105,-54.0741,-52.8571,-48.6957,-65.6036,-61.8182,-62.5561,-54.8951,-46.2175,-55.7068,-63.0742,-45.9459,-34.0388,-26.9231,-50.9202,-37.5,-57.3891,-42.325,-51.0297,-45.0795,-37.7261,-35.5001,-68.3684,-32.0167,-36.1583,-47.7927,-42.4999,-34.2818,-36.4222,-47.7272,-47.619,-42.4113,-54.4737,-52.3747,-50.3559,-44.7448,-31.0344,-41.7624,-46.3767,-26.2857,-58.75,-52.8181,-62.2222,-46.3767,-56.9999,-53.9131,-58.1282,-34.4037,-42.9318,-34.574,-68.5508,-29.7298,-42.1052,-63.5514,-76.0085,-67.6056,-61.206,-56.6234,-60.3604,-40.0566,-30.8708,-23.3334,-21.5613,-22.1738,-28.6258,-38.1634,-35.1675,-41.7098,-56.9481,-30.8572,-67.3611,-49.7778,-34.3284,-51.6678,-32.3228,-44.3299,-36.9458,-56.1689,-67.6712,-62.3257,-37.9692,-49.8924,-70.1851,-32,-18.0792,-43.1372,-58.3334,-33.5185,-63.1179,-50.0001,-60.7143,-38.8889,-52.6923,-43.9604,-50.4763,-39.4445,-39.0777,-29.502,-59.1928,-48.87,-53.5416,-58.0219,-77.6234,-48.8763,-39.6985,-44.6043,-63.5889,-45.7412,-25.3968,-22.2581,-19.5652
2,-65.2366,-34.8403,-34.4261,-25,-28.5012,-44.6809,-40.0578,-35.3094,-30,-33.9325,-34.5384,-38.4353,-30.7937,-35.4375,-46.0077,-59.3734,-37.805,-37.9747,-36.1402,-29.6053,-27.2223,-26.8992,-19,-41.2744,-38.5646,-28.2887,-48.316,-34.7109,-23.5834,-30.3676,-42.6113,-27.5259,-18.9796,-24.5714,-34.8372,-31.893,-46.4164,-31.9078,-42.8458,-43.8597,-33.4,-34.5161,-27.2059,-36.3057,-28.1457,-29.796,-30.4081,-41.9911,-41.435,-33.1523,-31.6175,-50.4046,-29.0769,-37.5384,-47.1382,-46.7153,-17.4577,-28.7635,-27.4029,-58.1481,-37.9078,-64.1433,-46.5754,-37.9818,-41.324,-52.9043,-29.5228,-29.7897,-26.7242,-28.6433,-42.8068,-35.2285,-38.195,-40.4604,-39.7164,-19.5565,-39.236,-51.5,-27.0386,-26.2195,-25.9134,-34.3906,-18.0002,-36.2441,-28.2553,-34.8594,-33.6284,-33.6788,-41.5437,-53.4545,-32.5805,-30.0571,-54.023,-47.5729,-43.5484,-65.5112,-52.6132,-58.5273,-53.0049,-43.7383,-51.5245,-58.8976,-38.4782,-26.9348,-19.1971,-50.2645,-34.4706,-46.4107,-42.034,-45.0348,-41.9754,-27.674,-20.8633,-44.275,-29.5616,-28.0138,-31.1005,-39.5038,-25.4114,-30.7071,-29.3751,-46.9231,-41.2195,-48.7456,-46.1321,-48.0791,-44.6603,-30.6369,-31.1967,-35.4068,-23.5964,-57.466,-50.8889,-55.098,-44.9999,-30.1039,-36.7089,-55.8773,-33.8463,-38.2859,-23.4636,-39.8058,-22.222,-39.6228,-36.4733,-66.5909,-48.954,-58.0838,-45.2174,-51.355,-39.7059,-28.4615,-19.8628,-12.676,-20.2312,-21.9857,-30.3334,-28.0304,-40.5641,-33.0357,-25.4602,-57.317,-45.2747,-33.117,-37.4999,-27.7485,-37.6148,-28.8835,-31.9527,-60.7407,-49.9999,-30.1885,-45.6067,-67.7227,-29.6969,-17.3159,-34.7899,-29.706,-20.2899,-57.1429,-48.0177,-48.7273,-35.327,-49.2309,-37.3068,-48.3871,-33.8068,-27.4999,-26.8749,-29.1666,-47.5962,-51.5653,-52.6667,-58.0291,-48.4962,-39.151,-37.2973,-35.9459,-42.7721,-24.8781,-22.1924,-12.7779
3,-38.8524,-33.1325,-31.8447,-21.5684,-27.6,-35.0961,-39.7893,-32.8167,-27.0868,-32.6446,-32.6923,-35.943,-25.2174,-33.6805,-40.7745,-50.3513,-37.532,-34.6455,-35.1146,-28.1325,-25.0382,-23.8227,-17.1838,-28.0489,-36.3856,-25.3695,-46.5027,-31.3637,-22.5352,-28.4518,-36.4389,-25.0002,-18.8312,-23.9265,-32.9961,-29.4445,-32.625,-24.4424,-39.5576,-34.3003,-31.0898,-31.6327,-27.1498,-34.5192,-24.2156,-27.0131,-22.5742,-35.9803,-40.1295,-32.126,-29.8509,-46.6404,-28.9389,-36.25,-45.4544,-43.8272,-16.9886,-27.381,-27.2558,-46.6472,-32.3797,-47.1698,-43.9761,-31.7647,-31.4634,-45.3938,-27.317,-28.8636,-26.3889,-28.3489,-40.04,-28.469,-38.1819,-35.7143,-32.4999,-19.5365,-36.9229,-37.4268,-25.9092,-23.6585,-25.0001,-34.3343,-17.9999,-33.5165,-27.4649,-32.8947,-31.348,-32.4787,-39.4673,-51.0703,-32.2116,-22.1373,-38.8429,-45.618,-39.483,-65.4206,-49.7767,-53.4934,-41.3625,-42.1875,-49.5622,-56.1161,-35.204,-25.7813,-19.0911,-49.8837,-33.0081,-46.1794,-37.8029,-40.0942,-41.8109,-22.4544,-19.8538,-40.6667,-28.5327,-24.5454,-27.479,-37.948,-18.7034,-26.2557,-26.8462,-43.5384,-35.1352,-36.4356,-37.6027,-40.8473,-40.8197,-28.3333,-29.3689,-29.3121,-23.1405,-43.8711,-50.1216,-53.4526,-39.5942,-29.0998,-23.8095,-45.098,-32.9855,-37.1318,-17.5,-38.2979,-20.6452,-37.0588,-33.9623,-56.1476,-38.7597,-49.3536,-43.1819,-42.7762,-37.6343,-27.541,-18.1818,-12,-17.1717,-20,-28.6885,-27.143,-38.0945,-32.2031,-25.1748,-41.2371,-42.1054,-31.6176,-37.4026,-26.9231,-36.584,-26.923,-31.1558,-41.6667,-49.836,-30,-38.4328,-58.7983,-29.4417,-15.3126,-33.4329,-29.1665,-18.7499,-56.4104,-46.2584,-44.0298,-33.3334,-46.6434,-32.9789,-47.9412,-32.9546,-24.694,-21.9642,-28.5715,-44.7531,-51.3298,-51.3513,-45.9351,-43.919,-38.8095,-34.2122,-35.03,-40.1842,-24.812,-21.5296,-10.7982
4,-30.2754,-29.7044,-29.4986,-19.6348,-26.9096,-32.4445,-33.2723,-29.6037,-25.3846,-31.5217,-29.232,-34.6342,-25,-32.2633,-40.7304,-46.8271,-37.1238,-30.8642,-33.2238,-26.4707,-19.1372,-21.9297,-17.1427,-26.8422,-30.864,-25.2367,-45.0852,-29.3131,-19.8029,-26.1262,-35.1429,-24.0418,-15.2028,-21.5095,-26.2096,-29.4312,-31.6,-19.4639,-31.4606,-32.5031,-30.3361,-28.4575,-26.3009,-26.1291,-21.6101,-21.6666,-20.042,-29.1333,-38.6843,-24.4198,-28.6625,-44.3804,-28.7499,-33.8688,-37.5913,-41.4103,-16.4285,-21.6868,-24.8275,-42.0291,-30.7444,-38.2739,-41.7333,-31.0344,-30.7691,-40.496,-27.0434,-27.346,-24.2925,-26.6927,-25.0003,-27.067,-37.7049,-34.3182,-29.8035,-17.9687,-30.6667,-33.4659,-24.7437,-20.1717,-23.7058,-32.5443,-15.3237,-27.8809,-23.0769,-32.4445,-31.1349,-28.0304,-37.8783,-47.1962,-31.0811,-18.4658,-33.3824,-43.5934,-37.961,-61.7347,-48.0499,-53.1548,-39.1076,-40.796,-48.9474,-54.0047,-23.3996,-24.5552,-18.0258,-47.8481,-32.0001,-43.0888,-37.1153,-31.4249,-41.4935,-22.439,-18.5153,-37.8151,-27.647,-23.8494,-19.5035,-32.4405,-18.5716,-26.2238,-24.9501,-32.2404,-33.833,-34.8837,-36.1582,-32.377,-35,-27.0271,-29.3521,-29.1463,-22.5498,-43.4145,-49.2625,-42.8396,-38.0505,-26.455,-19.3181,-41.7446,-31.1558,-34.3334,-17.039,-33.4752,-17.6668,-36.8,-33.4092,-43.6641,-37.6,-46.6102,-42.8001,-38.7096,-33.9934,-27.1698,-16.8606,-11.1111,-16.8143,-19.6666,-27.5758,-26.6332,-31.2236,-28.9257,-19.5123,-39.0976,-41.75,-28.1862,-37.0969,-25.5319,-36.5082,-26.7858,-29.4519,-41.6059,-39.8692,-29.9402,-37.9999,-49.5914,-26.7441,-15.1262,-26.4705,-25.6198,-17.8378,-56.25,-38.1505,-43.9394,-33.2143,-42.4391,-32.4023,-40.9939,-32.477,-23.1482,-19.6797,-19.3416,-44.4669,-45.235,-46.1226,-45.4301,-40.7247,-37.4603,-31.4893,-31.0776,-40.0835,-24.0925,-20.8164,-10.1694
5,-28.983,-27.6023,-23.7027,-18.0392,-22.3433,-31.7618,-30.4393,-23.342,-24.7788,-27.0409,-26.6892,-32.078,-22.6923,-25,-40.5644,-43.1319,-35.2678,-29.7793,-33.1642,-25.55,-17.4547,-21.6729,-16.7646,-25.8122,-30.3692,-25.0926,-42.4827,-27.6666,-18.8267,-24.6268,-33.3334,-22.4068,-14.0626,-21.3482,-26.1538,-27.5744,-28.2723,-19.4236,-30.3206,-28.115,-29.2623,-26.1364,-25.7372,-24.2009,-17.6119,-21.0526,-19.6016,-29.0324,-38.1818,-23.803,-28.612,-41.7085,-23.9285,-32.6668,-37.2221,-33.3089,-13.3846,-19.2308,-23.8555,-40.6896,-28.7709,-37.6652,-41.1511,-30.5488,-30.0396,-39.9368,-26.9311,-22.6103,-23.0771,-21.2765,-23.8401,-24.4973,-36.2319,-32.7587,-27.8986,-14.2575,-26.7325,-33.2958,-23.5668,-15.7392,-23.5964,-31.6985,-12.9819,-27.5,-21.3983,-31.923,-30.6819,-18.6047,-37.7325,-46.2555,-30.7533,-17.9338,-32.353,-41.1458,-36.4103,-57.6195,-47.459,-52.5312,-39.083,-40.4256,-46.4152,-44.1805,-20.5956,-22.3023,-16.1392,-46.162,-31.7709,-42.8153,-36.4178,-31.288,-40.7017,-21.2517,-17.1428,-30.8117,-25.7143,-23.6842,-16.9565,-32.3529,-17.3688,-23.6526,-22.7514,-26.923,-32,-34.4721,-35.887,-31.5218,-32.635,-26.5028,-29.3335,-26.3815,-20.8093,-32.0856,-47.8814,-41.0028,-37.5099,-26.3566,-16.928,-39.4069,-30.6667,-32.8303,-16.5713,-30.0001,-16.6666,-35.7144,-28.5714,-41.4064,-35.4838,-42.7556,-40.3226,-38.6503,-33.677,-26.3393,-15.1515,-8.4678,-15.7343,-19.3834,-27.411,-26.087,-30.7407,-28.3078,-18.6275,-34.0708,-41.577,-27.2001,-35.1724,-25.0001,-34.568,-25.4808,-27.0588,-39.5683,-37.8572,-29.9292,-34.5746,-47.6923,-26.4078,-15.0214,-26.087,-22.388,-17.2285,-53.5715,-37.1258,-41.9233,-31.4815,-41.9747,-32.1608,-40.5882,-32.2222,-19.8114,-17.9485,-18.0001,-42.094,-45.0393,-44.9085,-44.4934,-40.5171,-37.2414,-30.9658,-30.2632,-39.3334,-21.2391,-19.1638,-9.6467
6,-27.9068,-27.3869,-21.9298,-16.6975,-19.6498,-28.4931,-29,-22.7501,-23.7793,-26.8619,-24.3752,-30.8359,-20.1786,-24.0581,-39.314,-42.2916,-34.3832,-29.6836,-30.1792,-25.0574,-16.4012,-19.6969,-15.2543,-25.0779,-30.3572,-24.1048,-40.098,-27.4336,-18.7,-22.4397,-33.2099,-22.3299,-13.0953,-21.1363,-25.3521,-26.7515,-26.6667,-19.2858,-30.1908,-26.7856,-29.2308,-26.0033,-25.6579,-23.8952,-16.1481,-20.279,-19.4144,-27.4738,-37.3833,-23.6978,-28.2259,-36.2832,-23.3449,-32.4943,-36.6072,-32.8,-13.3333,-18.4184,-23.445,-40.0331,-28.2406,-35.4165,-41.1028,-29.8483,-30,-39.1754,-25.073,-22.2225,-23.0469,-21.1148,-22.956,-24.379,-29.5162,-30.2095,-27.7778,-13,-24.7252,-32.1977,-21.9895,-15.4911,-21.7797,-31.1404,-12.8147,-26.2775,-21.3333,-31.26,-30.097,-18.4617,-37.1335,-42.2287,-27.3888,-16.216,-29.3785,-36.0902,-36.1419,-54.9019,-47.1448,-52.4097,-33.1244,-38.3379,-46.3603,-34.8147,-20.1866,-21.9705,-13.3028,-45.7554,-30.1404,-42.7098,-36.2609,-26.8657,-39.3506,-20.0001,-17.0761,-30.0001,-25.3897,-22.0182,-16.6667,-31.6883,-15.5304,-16.3513,-22.4868,-23.4694,-31.6877,-34.3257,-33.8484,-31.0345,-32.5583,-26.016,-28.3332,-26.1212,-19,-29.8246,-39.8497,-40.7051,-35.8633,-23.2486,-16.6078,-36.6196,-30.0421,-31.2676,-14.5001,-29.3579,-16.5218,-35.1665,-27.4591,-40.6394,-35.461,-39.3259,-38.5456,-36.816,-32.6734,-24.9999,-14.732,-8.2607,-15.497,-18.1818,-21.6216,-25.5925,-29.077,-23.874,-16.9422,-31.2693,-39.3685,-26.7082,-34.6857,-24.4828,-32.2891,-24.3749,-26.28,-39.3289,-36.4672,-28.4671,-34.4339,-43.9216,-25.9887,-13.9365,-26.0664,-20.7549,-16.2163,-46.2365,-36.502,-41.519,-30.2752,-41.2188,-31.6384,-40.0001,-31.6514,-19.7843,-17.8574,-11.6279,-41.7527,-43.9622,-42.5926,-44.1558,-40.0602,-34.6773,-30.1889,-29.2308,-36.4161,-20.4177,-18.7675,-9.1745
7,-27.087,-26.384,-21.8217,-15.9794,-16.9558,-28.0001,-28.1045,-21.6981,-17.3002,-26.5641,-23.8981,-27.5789,-18.862,-21.4545,-38.5135,-42.2523,-33.7195,-29.4443,-29.8507,-24.3615,-15.9763,-19.0476,-15.0246,-23.739,-30.3556,-24.0923,-37.3911,-25.7401,-18.0583,-21.3595,-30.3654,-21.2852,-13.0594,-20.592,-24.3132,-26.3597,-24.4657,-19.1177,-27.3016,-26.6826,-25.9902,-25.9461,-25.5664,-22.8427,-15.4811,-18.8381,-19.355,-27.0664,-37.1429,-22.2223,-27.7389,-31.7391,-22.3999,-30.9063,-35.8862,-31.9007,-12.9032,-17.1687,-23.23,-39.9596,-27.5277,-33.3937,-40.6335,-29.0625,-28.8192,-35,-24.671,-21.9927,-22.7688,-20.9437,-18.033,-23.5668,-28.9169,-29.7872,-27.5362,-12.9096,-24.3625,-31.1109,-21.9843,-14.3002,-21.7241,-31.1321,-12.6666,-26.0001,-20.6757,-31.0345,-29.9679,-18.2977,-36.853,-40.3315,-26.8939,-13.5015,-26.6401,-34.6032,-35.132,-50.6266,-46.6982,-50.6639,-31.3726,-38.324,-44.1086,-33.7981,-18.0931,-20.0617,-13,-45.1747,-28.8508,-42.4568,-35.3683,-26.4275,-38.077,-20.0001,-17.0506,-29.6899,-23.8565,-21.2122,-16.2535,-30.8822,-13.7699,-16.105,-20.5179,-22.2018,-30.9334,-30.4263,-33.2145,-30.4833,-28.8659,-25.1482,-27.003,-25.4426,-18.5077,-29.293,-38.764,-32.0534,-35.849,-21.1269,-16.0172,-35.0877,-29.903,-29.5081,-14.0818,-29.3366,-16.4021,-34.7367,-27.4287,-38.8059,-35.3031,-34.4827,-37.8126,-30.7408,-31.0097,-24.7371,-14.5772,-7.6435,-14.5215,-17.2896,-21.0526,-25.46,-28.0059,-20.9167,-16.1015,-30.1333,-38.75,-24.927,-34.395,-23.3334,-31.6217,-22.4575,-25,-38.7499,-34.4828,-27.8325,-34.4157,-39.3163,-25.7756,-13.7614,-25.974,-20.275,-14.0001,-40.6779,-36.1702,-40.411,-27.8853,-40.726,-30.7461,-38.263,-30.4347,-19.6079,-17.5,-11.584,-41.6232,-42.4074,-42.2223,-43.7038,-39.4161,-34.2654,-30.11,-29.2237,-35.4545,-19.3924,-18.4398,-9.1667
8,-24.9999,-26.3118,-21.3286,-15.9532,-16.7591,-23.2516,-27.0269,-20.9878,-16.5451,-25.9583,-23.8036,-27.187,-18.0835,-18.5714,-38.0822,-40.0001,-32.4849,-29.1785,-26.0847,-23.5699,-14.0667,-18.5751,-15.009,-22.8373,-29.8198,-23.9749,-33.6755,-25.1256,-17.4127,-20.3911,-28.9475,-21.132,-12.9187,-20.0252,-19.6851,-25.9258,-23.091,-18.9854,-26.1411,-26.087,-25.4902,-24.4654,-25.4545,-22.2221,-15.1133,-18,-18.2574,-20.8334,-36.9918,-21.8997,-25.3206,-30.3818,-21.5686,-30.414,-35.6777,-30,-12.6316,-16.5217,-22.5,-38.1749,-26.5305,-31.2715,-40.4395,-28.8641,-27.5991,-32.5843,-24.0121,-21.5555,-22.3021,-20.29,-17.9085,-23.4939,-28.0374,-26.7746,-27.1146,-11.5345,-23.205,-30.8881,-19.394,-11.1999,-21.6417,-30.4039,-12.3596,-24.7557,-20.6351,-27.6595,-29.1263,-17.7247,-34.315,-30.3269,-26.7442,-12.1547,-25.9259,-32.2115,-35.0747,-50.0001,-45.1163,-48.9361,-30.2453,-37.5257,-43.8158,-32.7907,-17.0147,-19.3382,-12.0877,-44.6511,-27.6018,-39.112,-35.1717,-25.954,-37.8928,-17.2491,-14.9752,-29.4643,-22.4999,-19.9385,-16.1765,-30.0725,-13.4867,-14.2857,-18.7906,-22.0149,-30.4932,-29.917,-32.1428,-28.6821,-27.2253,-24.8323,-25,-25.1931,-18.1817,-26.6667,-33.3999,-31.9444,-35.5001,-20.5956,-14.1631,-30.0001,-29.8056,-28.8835,-13.5513,-28.9308,-16.2602,-31.5591,-26.8907,-34.4001,-32.1428,-31.9388,-36.5049,-29.4419,-30.5788,-24.5284,-13.8803,-7.5432,-14.4002,-17.1598,-20.7651,-25.2689,-27.551,-18.2857,-14.706,-27.2728,-38.3026,-24.3095,-34.1836,-20.5129,-30.8696,-22.3683,-24.2717,-38.4849,-33.3334,-27.2726,-34.3559,-39.1509,-25.7075,-13.2813,-25.5319,-19.9999,-12.7661,-32.0896,-34.6875,-40.0882,-27.6694,-40.5884,-30.5714,-37.8571,-29.9403,-19.3799,-16.6668,-11.5385,-40.7961,-41.2696,-42.069,-43.4628,-39.0977,-30.0001,-28.5713,-28.5714,-35.0002,-19.355,-18.4299,-8.5975
9,-23.8335,-26.0811,-21.0564,-15.2123,-16.6666,-22.5923,-25.4006,-20.5357,-16.4475,-25.1353,-23.4665,-26.6056,-17.0731,-16.4799,-37.7028,-39.4957,-32.0443,-28.3052,-25,-23.4258,-14.0272,-17.3797,-14.7679,-22.6001,-29.7807,-23.6461,-33.654,-24.6184,-16.6033,-20.2994,-27.8332,-20.6348,-12.1006,-19.4097,-19.4313,-25.1948,-23.0199,-18.1557,-25.3699,-26.0256,-24.0876,-19.3684,-24.8713,-22.1757,-13.4402,-17.2714,-17.8726,-19.9234,-36.5686,-16.7892,-25.1852,-30.3449,-21.3932,-28.3277,-33.6699,-28.1954,-12.0519,-16.5137,-21.7527,-37.5968,-25.7282,-30.8321,-40.2472,-28.3056,-27.5363,-31.6239,-22.1015,-21.3318,-22.0301,-19.7368,-17.5628,-23.4567,-27.2083,-26.244,-26.7939,-11.5045,-21.7688,-30.6061,-19.0616,-10.625,-21.2687,-29.7871,-11.7902,-24.5206,-19.8804,-18.4208,-28.6487,-15.0146,-32.9948,-27.3755,-23.2929,-11.8705,-24.2187,-29.6703,-32.4873,-50,-44.7952,-48.493,-29.5,-31.9444,-42.7026,-28.5715,-16.4415,-17.7215,-11.8645,-44.3564,-27.2727,-38.1721,-32.1211,-25.9259,-37.5512,-17.2414,-14.4771,-27.8351,-22.3242,-18.5417,-16.1291,-29.6357,-13.0434,-13.0436,-18.7501,-20.9262,-29.9268,-29.7562,-31.8472,-28.6472,-26.5958,-22.9984,-22.5981,-24.5702,-17.3517,-26.0677,-33.3333,-31.2634,-34.8366,-20.3666,-13.695,-29.5919,-29.4944,-27.1521,-12.6864,-28.5713,-15.5738,-30.1333,-26.6667,-33.8709,-31.3042,-31.2031,-36.3265,-28.4506,-30.2885,-23.9616,-13.5446,-7.2033,-13.6096,-17.0298,-20,-25.0502,-26.9566,-18.077,-14.4737,-23.7952,-37.6377,-23.6844,-33.9999,-20.3999,-29.2135,-22.2903,-23.4987,-38.3284,-32.161,-26.9653,-33.913,-38.5828,-25.3367,-13.0434,-25.3112,-17.2726,-9.6899,-28.846,-33.9705,-39.0322,-27.1551,-40.0001,-28.9257,-37.8017,-29.8702,-18.0673,-16.4617,-10.9194,-40.6639,-40.4111,-41.3534,-43.2885,-39.0477,-29.0698,-28.296,-28.376,-33.6602,-19.0909,-17.6056,-7.95
10,-23.8271,-20.8428,-20.7595,-14.9322,-16.508,-22.171,-25.3522,-20.0218,-16.3771,-24.1572,-22.0081,-24.4635,-16.9735,-15.9999,-37.46,-38.1599,-31.1393,-27.7363,-24.9038,-23.2743,-13.9113,-16.9194,-13.3574,-22.3507,-29.2422,-23.4177,-32.475,-23.0591,-15.4159,-19.0123,-27.6136,-20,-10.3805,-19.079,-17.0253,-25.091,-21.8429,-18.1268,-25.1947,-25.3472,-23.934,-18.7242,-24.3107,-21.9596,-13.2762,-16.8408,-17.8572,-19.4324,-35.7218,-16.5681,-19.788,-29.2057,-20.8155,-26.2774,-31.2751,-27.8779,-11.7155,-15.9323,-21.5001,-36.6179,-25.5999,-30.4733,-39.9134,-28.2737,-27.363,-25.3187,-20.5714,-21.212,-21.7565,-19.0752,-17.1217,-23.225,-24.1147,-23.2448,-26.4957,-11.2675,-21.5975,-30.3381,-19.0084,-9.674,-20.2045,-29.4321,-11.4009,-23.2474,-19.6237,-18.3674,-28.0929,-14.1414,-32.0867,-25.7352,-20.6897,-11.5386,-23.7646,-28.9764,-32.1429,-49.1554,-44.2786,-48.3783,-28.9037,-31.7415,-42.2018,-27.5526,-16.3956,-17.6176,-11.2903,-44.1798,-26.2136,-37.2385,-32.0002,-25.6998,-37.2339,-16.9962,-14.3679,-25.6668,-22.1401,-17.3569,-15.311,-27.5863,-12.6924,-12.5,-18.6321,-19.2001,-28.8793,-29.5454,-31.7409,-28.5366,-21.0749,-22.6805,-22.4701,-23.5956,-14.1701,-24.8781,-33.1093,-28.1468,-34.3194,-20.3555,-12.5604,-28.7357,-28.9999,-26.8656,-12.4424,-26.7742,-15.3846,-29.5934,-26.6094,-32.5425,-30.8291,-29.7945,-36.1751,-28.4403,-29.948,-23.5715,-12.4647,-6.9306,-10.9292,-16.7831,-19.9999,-22.7274,-26.6667,-17.9104,-12.8124,-22.5,-37.5255,-22.8217,-33.0189,-19.9998,-28.6824,-20.5358,-23.1249,-37.5,-31.99,-26.6011,-33.7301,-37,-24.9999,-13.0433,-24.9999,-17.2297,-8.6207,-28.8343,-31.6489,-38.9503,-27.0073,-39.1305,-28.1409,-37.7483,-29.5774,-17.6191,-15.7026,-10.7438,-40.1802,-40.1041,-41.1484,-42.6374,-36.7646,-28.7499,-28.2788,-28.0219,-32.3672,-18.6444,-17.2549,-7.1697
